bisai,host,guest
887884,9,0.0
846897,0,1.0
851275,1,4.0
876188,0,4.0
883539,0,2.0
887679,1,0.0
853913,0,1.0
866434,4,2.0
866440,1,2.0
866448,0,1.0
874344,1,2.0
874378,1,2.0
875176,1,2.0
876156,0,4.0
876163,3,0.0
876170,2,3.0
877328,5,1.0
878174,4,1.0
881839,0,4.0
883880,2,0.0
884580,1,3.0
885589,1,4.0
887091,0,3.0
887092,0,0.0
887362,3,2.0
887429,0,3.0
887432,0,1.0
887674,1,4.0
887675,1,8.0
887676,2,3.0
887837,0,2.0
887838,2,2.0
887878,1,2.0
887883,2,4.0
887885,1,0.0
887886,3,1.0
887888,4,3.0
887889,3,1.0
887890,0,3.0
887894,3,3.0
887898,1,0.0
874266,2,3.0
885708,1,0.0
858087,1,1.0
874379,2,9.0
876159,1,1.0
876260,2,0.0
881880,2,2.0
885295,3,3.0
885602,3,1.0
886747,4,1.0
886777,2,2.0
887500,3,1.0
887678,2,1.0
887887,2,0.0
887895,2,0.0
876684,0,0.0
846891,5,2.0
846893,2,2.0
846898,4,1.0
853927,5,0.0
854127,2,2.0
856508,4,5.0
856509,4,0.0
856510,6,1.0
856512,2,4.0
876158,2,1.0
876160,0,4.0
876187,0,1.0
877399,0,2.0
877419,0,2.0
883866,1,0.0
883878,1,0.0
883905,1,0.0
885605,0,0.0
885606,3,0.0
885675,2,0.0
885700,1,0.0
887435,0,0.0
887891,2,1.0
887896,1,1.0
887897,3,3.0
885537,2,1.0
887509,1,1.0
854275,1,1.0
863073,2,1.0
877329,2,1.0
883879,4,0.0
873503,2,1.0
887892,0,0.0
887919,0,1.0
846894,4,3.0
852980,2,1.0
863858,1,0.0
850108,0,1.0
868869,1,3.0
868871,1,3.0
868872,2,2.0
868874,2,0.0
883310,2,1.0
886038,2,0.0
886039,0,1.0
887438,3,0.0
867832,0,2.0
867938,0,0.0
878522,0,0.0
887439,2,2.0
873505,1,1.0
875729,2,2.0
868873,2,0.0
887440,0,2.0
887441,1,3.0
887442,0,6.0
875727,3,2.0
873506,0,0.0
850111,3,0.0
850109,1,0.0
850112,3,1.0
868077,2,1.0
871244,0,0.0
877298,1,2.0
887893,2,0.0
873500,1,0.0
850110,2,2.0
850113,1,1.0
861669,1,3.0
861671,1,3.0
861670,2,0.0
864563,1,3.0
885628,0,3.0
862303,1,2.0
888174,4,0.0
863243,1,3.0
860855,0,1.0
861313,0,1.0
862309,1,0.0
868373,2,0.0
859291,5,1.0
859319,1,1.0
859322,2,1.0
859330,4,0.0
859347,2,1.0
859353,2,1.0
859367,0,2.0
859369,0,1.0
859377,4,2.0
862308,2,2.0
857669,1,2.0
856812,2,3.0
856814,1,0.0
856815,3,0.0
856996,0,1.0
856999,0,4.0
857662,1,0.0
857663,1,1.0
859372,0,0.0
862305,1,3.0
857660,4,4.0
862233,0,0.0
874104,2,0.0
883556,0,2.0
885607,2,1.0
860856,4,1.0
860857,0,2.0
860867,5,0.0
861294,2,0.0
861326,1,0.0
855324,0,1.0
874105,3,0.0
879776,1,4.0
885547,2,2.0
887899,0,3.0
887908,4,2.0
887909,2,0.0
888204,1,3.0
888342,2,4.0
887912,3,2.0
854895,1,6.0
854896,4,3.0
854897,1,0.0
862223,2,0.0
864910,2,0.0
866438,1,0.0
866439,4,1.0
876280,0,10.0
881881,1,1.0
887911,1,2.0
888198,0,1.0
885548,1,2.0
856239,2,1.0
851133,1,0.0
851134,2,0.0
851137,2,1.0
851138,3,1.0
855325,2,3.0
855326,1,1.0
862228,1,1.0
862231,3,2.0
862519,2,0.0
862523,1,0.0
864914,1,1.0
867822,2,1.0
867930,2,0.0
879802,3,0.0
882204,0,1.0
885671,0,1.0
886012,0,2.0
887910,2,4.0
888196,4,1.0
888197,1,0.0
888200,0,7.0
858084,2,0.0
858086,2,0.0
858089,1,1.0
858090,0,0.0
858091,0,0.0
882231,0,2.0
887913,0,3.0
866436,1,1.0
866437,2,4.0
888201,2,1.0
846892,1,2.0
846896,4,1.0
854135,0,0.0
856173,2,0.0
856174,2,1.0
856176,1,1.0
856178,1,0.0
856179,3,1.0
856314,1,1.0
862522,0,1.0
863855,0,1.0
883268,1,1.0
887443,2,0.0
887444,1,2.0
854274,2,0.0
873499,1,1.0
867840,3,0.0
869935,1,0.0
876063,0,0.0
886017,1,1.0
886018,1,2.0
875726,0,1.0
883307,2,1.0
883309,1,3.0
887446,1,5.0
883304,2,0.0
883305,1,1.0
883308,3,2.0
887447,1,0.0
885515,0,1.0
873508,4,1.0
887448,1,1.0
875728,0,0.0
850114,0,0.0
877381,2,0.0
867927,0,0.0
883306,3,1.0
888203,2,4.0
850115,3,1.0
885519,1,0.0
883590,1,0.0
883584,0,1.0
888206,1,0.0
888316,2,1.0
883588,1,2.0
888205,2,2.0
883583,3,1.0
883591,0,0.0
888314,0,0.0
888326,1,1.0
888702,1,0.0
855330,3,2.0
883589,0,0.0
888317,0,1.0
883587,1,1.0
883592,1,1.0
883545,0,0.0
883585,3,0.0
856177,3,0.0
866433,1,0.0
875252,3,1.0
883586,1,0.0
888323,0,0.0
854149,2,1.0
888343,1,6.0
888327,0,1.0
888404,1,1.0
888315,1,3.0
854144,0,1.0
854154,2,1.0
854140,1,4.0
873512,1,1.0
867932,0,3.0
887445,2,0.0
888411,1,2.0
879116,2,3.0
888707,0,2.0
888435,1,2.0
888437,6,0.0
888708,1,1.0
877418,0,1.0
882241,0,1.0
883302,1,1.0
884606,0,1.0
888439,2,1.0
888689,1,2.0
889114,3,6.0
851276,7,0.0
883875,1,2.0
888879,2,1.0
889088,2,0.0
883865,0,0.0
