bisai_id,cold,win,draw,lose
955236,big_cold,2.63,3.3,4.2
953166,big_cold,3.25,3.45,2.55
992070,little_cold,1.57,4.8,6.25
933854,big_cold,2.85,4.7,2.6
960192,big_cold,2.71,3.57,3.05
955237,normal,2.07,3.65,5.6
956008,normal,1.83,4.4,5.0
960362,normal,1.85,5.0,4.6
956005,little_cold,2.2,4.6,5.0
956006,big_cold,6.0,4.75,1.73
962512,little_cold,2.35,3.6,4.2
991928,big_cold,1.7,4.52,6.54
960190,little_cold,2.51,3.72,3.7
931644,normal,6.8,4.2,1.8
953716,little_cold,3.25,3.4,2.65
955245,little_cold,1.85,4.75,5.7
990291,little_cold,2.6,3.6,3.25
983978,normal,2.08,3.8,4.81
989518,little_cold,2.05,3.64,5.19
931660,big_cold,2.88,3.36,2.84
960183,big_cold,5.22,4.2,1.85
954934,normal,29.0,12.0,1.18
990294,normal,1.21,11.0,41.0
954876,big_cold,2.77,3.33,3.3
955240,normal,2.0,3.6,4.85
953147,normal,1.12,11.25,26.65
971454,normal,2.2,4.05,5.19
957052,normal,8.2,4.0,1.75
955235,little_cold,2.25,3.2,4.5
960536,normal,17.0,7.8,1.25
956007,little_cold,2.12,3.84,3.7
956003,little_cold,1.55,7.0,13.0
955238,big_cold,2.56,3.2,3.7
954044,normal,1.3,6.8,14.0
953723,little_cold,1.85,3.86,5.7
990293,normal,34.0,11.0,1.17
946618,little_cold,4.28,3.98,2.25
931616,normal,2.0,3.58,4.8
972196,little_cold,3.85,3.82,2.4
960185,little_cold,3.1,3.65,2.86
957518,normal,2.15,3.6,4.19
935460,normal,1.48,7.4,12.0
960187,little_cold,7.0,4.55,1.75
983979,big_cold,2.73,3.28,3.4
987199,normal,2.05,4.8,4.9
978219,normal,2.12,3.6,4.53
980009,big_cold,2.55,5.0,3.36
953170,normal,1.86,3.85,5.25
944571,little_cold,2.54,4.2,4.23
975180,big_cold,2.5,3.27,4.21
962227,normal,4.4,3.7,2.42
956009,little_cold,2.62,4.1,4.5
973741,big_cold,2.1,3.55,4.9
972201,normal,2.75,3.48,3.1
967385,normal,1.22,9.5,25.0
931724,big_cold,2.6,3.75,3.25
967388,normal,9.5,4.9,1.7
956004,little_cold,2.35,4.4,3.28
962637,big_cold,2.3,3.74,3.86
974250,normal,1.91,4.6,6.3
955243,normal,1.92,3.6,6.0
967060,big_cold,2.45,3.4,3.84
984127,normal,3.55,3.2,3.1
999691,normal,1.76,4.0,6.2
999694,normal,1.56,5.0,11.0
967455,big_cold,3.5,3.39,2.6
972278,normal,4.7,3.95,2.0
962693,little_cold,2.6,3.6,3.39
984126,little_cold,3.2,3.23,2.91
969072,big_cold,3.74,3.3,2.85
967117,normal,1.83,3.8,6.07
976311,big_cold,1.58,5.0,7.5
969264,normal,2.14,4.2,5.5
957136,normal,4.75,3.85,2.1
992902,little_cold,6.0,4.0,1.75
973857,big_cold,2.1,3.65,4.55
957709,big_cold,2.95,3.55,2.7
960413,normal,1.6,4.95,6.5
957129,little_cold,4.85,3.6,2.12
955341,normal,2.07,3.78,4.55
1000368,big_cold,3.2,3.3,4.0
971681,normal,1.16,14.0,46.0
967475,normal,1.74,3.95,6.5
948346,normal,2.02,4.1,5.0
963856,big_cold,2.19,3.87,4.33
960337,normal,4.5,4.0,2.33
931597,normal,2.41,3.68,3.66
931579,little_cold,3.8,3.7,2.54
975956,normal,5.3,4.0,1.88
954794,little_cold,3.05,3.1,2.9
948367,little_cold,2.96,3.63,3.3
948352,normal,1.47,5.8,12.3
975947,normal,2.11,3.8,3.91
955582,little_cold,3.35,3.52,2.77
962399,big_cold,2.8,3.6,3.1
953679,normal,2.6,3.44,3.4
929868,normal,7.45,4.58,2.05
931599,normal,1.34,6.2,17.0
957008,normal,2.1,4.0,5.7
975948,little_cold,2.15,3.75,3.88
975954,normal,17.0,7.75,1.29
929865,little_cold,1.82,4.5,6.03
974702,big_cold,1.35,6.51,13.56
975946,normal,15.0,6.8,1.41
967042,normal,2.15,3.5,5.65
959529,big_cold,3.18,3.6,2.6
948349,normal,1.34,7.7,17.0
944891,big_cold,2.45,3.5,4.95
930620,normal,1.8,4.36,6.0
991949,big_cold,3.4,3.85,2.68
971705,normal,1.73,4.69,12.04
971706,little_cold,3.25,3.15,2.95
1003654,little_cold,1.79,4.08,4.95
1004583,normal,1.16,9.0,15.5
