,bisai,host,guest
466,752631,2,1
467,752392,3,1
468,752395,1,0
469,711341,2,0
470,728919,1,2
471,741342,1,0
472,741353,1,4
473,740076,0,0
474,708827,2,0
475,721356,2,1
476,723548,1,1
477,737042,0,1
478,741356,1,0
479,703837,2,1
480,705044,2,4
481,741047,2,3
482,763015,0,3
483,714877,0,2
484,728894,4,1
485,762797,2,2
486,764797,0,5
487,763461,4,1
488,705041,0,1
489,705043,4,3
490,705046,0,0
491,705052,3,0
492,705064,1,1
493,705066,0,1
494,705068,4,0
495,705078,2,2
496,709944,1,0
497,702742,0,1
498,748065,2,1
499,764766,1,3
500,724112,0,3
501,734167,0,1
502,717228,1,1
503,736703,1,1
504,716019,0,3
505,734938,0,3
506,716001,0,2
507,714067,2,5
508,757386,0,0
509,735279,3,1
510,763474,2,3
511,735268,3,0
512,735273,1,0
513,735280,1,2
514,752397,2,2
515,753085,1,2
516,752396,3,2
517,763817,1,2
518,764454,1,0
519,763496,3,2
520,751992,3,0
521,764455,1,0
522,764730,2,1
523,715025,0,1
524,715058,2,1
525,741068,1,0
526,751993,1,0
527,763480,3,2
528,729871,2,1
529,729886,1,2
530,741061,1,1
531,764456,3,0
532,702645,1,2
533,702648,1,1
534,763404,3,4
535,763799,1,2
536,705073,3,1
537,761715,0,0
538,762164,1,1
539,762184,5,0
540,762188,0,2
541,712449,2,1
542,705966,1,1
543,705978,1,3
544,705987,2,1
545,705992,2,0
546,708206,1,1
547,708219,2,1
548,708222,2,1
549,724110,2,0
550,725026,2,0
551,725062,3,1
552,725066,2,0
553,725070,0,0
554,725072,1,2
555,725073,2,0
556,725075,2,2
557,725082,1,0
558,733008,1,0
559,733080,2,2
560,733084,3,2
561,733113,1,2
562,760515,0,1
563,761891,1,1
564,761999,0,0
565,764666,4,3
566,764724,4,0
567,702690,2,0
568,705981,1,2
569,705997,0,1
570,751989,1,0
571,762169,0,0
572,762182,2,1
573,705675,0,1
574,735270,0,2
575,735281,0,1
576,762622,5,2
577,762626,6,1
578,762627,5,0
579,762628,3,0
580,762629,2,0
581,770898,3,1
582,763775,1,0
583,763786,2,2
584,764140,2,0
585,763483,0,1
586,763781,2,1
587,764453,0,1
588,764457,1,0
589,761660,1,0
590,761953,1,0
591,742713,0,6
592,751990,2,0
593,715050,0,1
594,720362,0,1
595,720364,2,3
596,720368,2,1
597,720370,2,0
598,720376,0,0
599,720390,0,1
600,742716,6,0
601,763476,1,2
602,764461,3,2
603,764713,0,1
604,761659,1,0
605,761662,0,0
606,761663,2,1
607,761665,0,4
608,721525,2,1
609,715010,1,0
610,720384,3,0
611,729872,1,0
612,763119,4,2
613,715056,1,1
614,715114,0,1
615,751994,2,0
616,763017,1,1
617,729867,0,3
618,729869,1,1
619,729876,3,1
620,729885,2,2
621,741065,0,4
622,761666,1,2
623,763812,4,2
624,764459,1,0
625,764764,2,1
626,741063,1,3
627,702649,5,1
628,702662,1,2
629,702665,1,2
630,702668,0,2
631,702671,0,0
632,704329,2,2
633,760261,0,5
634,763407,1,0
635,704112,1,2
636,741067,1,3
637,761716,0,3
638,761718,1,1
639,761719,2,0
640,762165,1,1
641,762185,5,1
642,762191,0,3
643,761717,0,1
644,761720,2,3
645,761721,1,4
646,763628,3,2
647,705984,1,1
648,706000,3,0
649,706002,1,0
650,706005,1,4
651,708453,1,0
652,733120,1,0
653,761722,4,1
654,702679,1,1
655,720400,3,3
656,751995,2,2
657,770901,0,1
658,762177,0,4
659,762180,1,0
660,767347,3,0
661,764667,1,1
662,764801,0,2
663,705706,1,2
664,731199,2,1
665,762651,2,2
666,762653,8,0
667,762655,1,2
668,762656,0,0
669,762657,0,0
670,752394,2,2
671,763499,2,1
672,723608,4,1
673,723619,8,1
674,752393,1,2
675,752398,0,1
676,763805,0,4
677,761726,3,1
678,764460,3,0
679,751854,0,2
680,764252,0,2
681,764253,2,2
682,764677,1,2
683,740085,0,1
684,715038,0,1
685,740082,3,1
686,761661,0,2
687,761667,0,1
688,751850,2,1
689,751852,2,1
690,764250,0,0
691,763406,0,1
692,764458,0,0
693,764681,2,1
694,740086,0,0
695,740101,0,1
696,715092,1,1
697,741060,1,1
698,751991,2,2
699,763019,0,3
700,761664,1,0
701,763481,1,1
702,741058,3,1
703,764239,0,2
704,763405,0,1
705,762160,0,0
706,762187,1,2
707,763018,3,0
708,702666,2,1
709,751988,2,0
710,765009,0,0
711,728810,1,4
712,762176,1,2
713,728787,1,3
714,763399,1,1
715,763399,1,1
716,767367,0,1
717,764834,0,0
718,764835,0,3
719,705702,0,3
720,735290,1,4
721,723613,1,3
722,753065,0,5
723,741362,1,0
724,740094,4,3
725,740090,0,0
726,751859,2,3
727,751863,2,3
728,764467,3,2
729,741355,1,0
730,741358,1,0
731,741370,0,3
732,764251,2,1
733,765018,0,0
734,764468,1,0
735,764463,1,2
736,720396,1,2
737,764732,1,2
738,764464,1,2
739,751861,1,4
740,751864,2,1
741,765019,1,1
742,765020,3,1
743,714888,2,1
744,764679,0,2
745,764680,2,1
746,764736,2,1
747,740097,3,1
748,708844,0,1
749,721360,1,0
750,723515,4,1
751,723524,3,0
752,737041,0,1
753,739894,2,1
754,703831,0,0
755,709952,3,3
756,709957,0,1
757,709959,1,3
758,715561,1,0
759,718441,1,1
760,759244,2,1
761,759245,2,1
762,712033,2,0
763,712473,1,2
764,714587,2,2
765,715575,3,0
766,718439,2,1
767,726945,2,0
768,765021,0,0
769,712443,1,0
770,712457,0,3
771,714324,1,1
772,714884,1,2
773,718438,1,1
774,722533,0,4
775,722534,0,2
776,722558,1,2
777,728021,2,0
778,734485,1,1
779,742454,1,2
780,743112,2,0
781,730128,1,3
782,762162,1,1
783,762190,3,0
784,770816,0,1
785,702686,0,2
786,704533,1,2
787,708826,0,4
788,709639,1,0
789,713809,1,1
790,750147,0,1
791,706612,0,5
792,708105,2,3
793,711188,2,0
794,736719,0,0
795,741742,1,1
796,764053,1,2
797,714056,4,2
798,717214,1,3
799,762170,3,4
800,716016,4,2
801,714013,2,2
802,728804,0,4
803,728805,0,0
804,714013,2,2
805,728804,0,4
806,728805,0,0
807,716018,0,2
808,734937,1,3
809,734939,0,2
810,760300,1,1
811,764838,1,1
812,705704,1,3
813,677858,0,1
814,677859,2,0
815,677867,0,0
816,677869,1,2
817,677880,0,0
818,677896,2,0
819,677939,1,1
820,677966,1,2
821,752112,1,1
822,735310,1,3
823,705698,2,0
824,735300,2,0
825,745422,3,0
826,745424,5,0
827,745425,3,0
828,745427,3,0
829,745430,4,1
830,745439,3,0
831,731227,2,0
832,752116,0,1
833,717793,2,2
834,723609,2,0
835,723610,0,1
836,731189,2,2
837,731198,2,2
838,731214,2,3
839,731215,2,2
840,731236,2,2
841,738032,1,2
842,738054,0,0
843,739204,1,1
844,770801,1,1
845,753495,4,0
846,717715,2,1
847,723618,2,3
848,730901,0,1
849,735288,4,1
850,728923,2,0
851,709953,0,0
852,709955,3,0
853,711340,0,0
854,711342,3,2
855,717704,3,0
856,723521,1,1
857,728018,5,1
858,728024,3,0
859,728025,2,2
860,728029,5,1
861,728031,2,0
862,728085,0,1
863,728100,1,0
864,728204,1,1
865,731179,1,4
866,731205,4,0
867,736476,2,3
868,736483,1,0
869,736486,1,1
870,736487,0,0
871,743323,0,2
872,765005,0,0
873,714584,2,5
874,714589,4,1
875,714591,3,1
876,722538,4,1
877,725451,0,1
878,725452,1,0
879,725454,0,1
880,725455,1,0
881,725543,3,1
882,725544,1,0
883,725545,0,1
884,725546,1,2
885,725547,1,1
886,770757,0,0
887,770758,1,2
888,770759,2,1
889,770761,4,4
890,770762,4,1
891,770763,1,4
892,705995,2,1
893,708103,0,1
894,764462,1,1
895,711767,0,1
896,711987,0,0
897,712009,2,1
898,712011,1,1
899,712028,0,2
900,712045,0,2
901,712120,4,0
902,712175,2,0
903,712437,0,1
904,712451,4,0
905,712456,0,1
906,712470,1,0
907,714329,2,0
908,714335,3,2
909,714343,1,0
910,714346,2,1
911,717701,3,3
912,717789,5,1
913,718432,2,0
914,718433,1,1
915,718434,1,1
916,718436,1,1
917,718437,3,0
918,718443,0,0
919,722543,2,1
920,722556,4,2
921,726930,0,2
922,728019,5,0
923,728020,2,1
924,728026,0,0
925,728027,3,1
926,728028,4,0
927,728032,1,2
928,728033,2,2
929,728035,3,2
930,728036,1,0
931,728037,1,0
932,728038,2,1
933,728040,0,1
934,730392,4,0
935,730403,4,1
936,730484,1,2
937,730529,1,4
938,734486,0,1
939,735713,0,5
940,735716,2,1
941,735721,0,1
942,735722,5,1
943,735727,0,5
944,735729,3,0
945,736044,2,0
946,742924,1,2
947,743050,2,3
948,743134,1,1
949,748552,2,0
950,762214,2,1
951,764303,2,2
952,764309,1,1
953,764678,0,1
954,764789,0,0
955,764790,0,1
956,764794,3,0
957,770810,0,0
958,714887,0,6
959,715555,2,0
960,715562,2,2
961,715563,4,1
962,729920,0,2
963,743322,2,2
964,748043,1,0
965,748468,0,1
966,748801,0,5
967,759246,2,0
968,759247,2,1
969,759248,2,0
970,759249,1,0
971,759251,1,1
972,763743,2,1
973,763744,4,1
974,763745,1,4
