bisai_id,cold,win,draw,lose,big_cold_peilv,normal_peilv,little_cold_peilv
850242,normal,2.85,4.9,7.45,7.45,2.85,4.9
885002,normal,2.5,3.7,3.6,3.7,2.5,3.6
908799,normal,5.5,5.25,1.52,5.5,1.52,5.25
906002,normal,1.85,4.25,8.05,8.05,1.85,4.25
878631,little_cold,2.12,3.75,4.05,4.05,2.12,3.75
905174,normal,2.2,4.05,5.0,5.0,2.2,4.05
903744,little_cold,2.14,3.6,3.95,3.95,2.14,3.6
917102,little_cold,1.62,4.75,9.0,9.0,1.62,4.75
888943,big_cold,2.0,4.0,5.3,5.3,2.0,4.0
859508,big_cold,2.55,3.65,3.68,3.68,2.55,3.65
856288,big_cold,1.95,4.0,5.5,5.5,1.95,4.0
886148,normal,2.4,3.65,3.6,3.65,2.4,3.6
919395,big_cold,2.02,3.7,3.56,3.7,2.02,3.56
866531,little_cold,4.65,4.04,1.87,4.65,1.87,4.04
881424,normal,2.15,3.58,4.25,4.25,2.15,3.58
896858,big_cold,2.73,3.4,3.56,3.56,2.73,3.4
896859,normal,2.02,4.66,8.78,8.78,2.02,4.66
876962,big_cold,4.55,3.8,2.4,4.55,2.4,3.8
904672,normal,3.25,3.1,2.8,3.25,2.8,3.1
884337,big_cold,2.35,3.41,3.75,3.75,2.35,3.41
905761,little_cold,2.08,3.52,6.25,6.25,2.08,3.52
856582,little_cold,3.0,4.6,2.79,4.6,2.79,3.0
856900,big_cold,2.07,3.73,4.7,4.7,2.07,3.73
879885,little_cold,4.02,3.85,2.28,4.02,2.28,3.85
885827,normal,1.19,13.0,81.0,81.0,1.19,13.0
891471,normal,5.5,3.86,1.91,5.5,1.91,3.86
896082,normal,4.3,3.5,2.3,4.3,2.3,3.5
892868,little_cold,2.22,3.35,3.95,3.95,2.22,3.35
878635,normal,1.67,4.16,6.1,6.1,1.67,4.16
876768,big_cold,1.65,4.68,8.4,8.4,1.65,4.68
876398,big_cold,2.35,3.5,3.82,3.82,2.35,3.5
881418,little_cold,6.0,3.92,1.93,6.0,1.93,3.92
856896,little_cold,4.4,3.9,2.42,4.4,2.42,3.9
903743,big_cold,1.8,4.08,5.28,5.28,1.8,4.08
846986,normal,1.5,5.4,11.91,11.91,1.5,5.4
874737,normal,2.02,3.9,5.25,5.25,2.02,3.9
905763,normal,1.91,3.79,6.09,6.09,1.91,3.79
905764,little_cold,17.0,7.0,1.44,17.0,1.44,7.0
878634,normal,2.7,3.66,3.12,3.66,2.7,3.12
896857,normal,2.0,4.0,5.75,5.75,2.0,4.0
886157,normal,1.7,4.5,6.75,6.75,1.7,4.5
883767,little_cold,1.7,3.75,6.25,6.25,1.7,3.75
887617,little_cold,2.3,3.64,3.8,3.8,2.3,3.64
887627,little_cold,2.85,3.6,3.25,3.6,2.85,3.25
884997,little_cold,2.25,3.75,4.0,4.0,2.25,3.75
850248,big_cold,2.1,3.8,3.96,3.96,2.1,3.8
883754,little_cold,1.65,4.25,8.7,8.7,1.65,4.25
851215,normal,1.2,8.7,23.0,23.0,1.2,8.7
904684,little_cold,2.77,3.55,5.75,5.75,2.77,3.55
891475,little_cold,1.13,14.5,33.0,33.0,1.13,14.5
856282,normal,2.35,3.72,3.62,3.72,2.35,3.62
883756,normal,2.0,3.4,4.68,4.68,2.0,3.4
884336,normal,2.1,3.67,4.75,4.75,2.1,3.67
866540,little_cold,2.95,3.57,2.86,3.57,2.86,2.95
846985,little_cold,2.37,3.7,3.96,3.96,2.37,3.7
892869,normal,1.83,3.9,5.85,5.85,1.83,3.9
911578,little_cold,2.4,3.55,4.3,4.3,2.4,3.55
859474,big_cold,3.71,3.65,2.32,3.71,2.32,3.65
856276,normal,1.44,5.75,9.5,9.5,1.44,5.75
855382,normal,1.62,4.5,7.6,7.6,1.62,4.5
847637,little_cold,3.8,3.65,2.4,3.8,2.4,3.65
857062,little_cold,2.62,3.4,2.98,3.4,2.62,2.98
888941,big_cold,2.53,3.45,3.4,3.45,2.53,3.4
905162,big_cold,3.8,3.32,2.4,3.8,2.4,3.32
895469,normal,2.55,3.25,3.6,3.6,2.55,3.25
859492,normal,6.75,3.9,1.75,6.75,1.75,3.9
917101,normal,6.89,4.25,2.5,6.89,2.5,4.25
866542,normal,2.38,3.8,4.35,4.35,2.38,3.8
856323,big_cold,1.7,4.75,6.15,6.15,1.7,4.75
895768,normal,2.4,3.25,3.75,3.75,2.4,3.25
896083,little_cold,4.05,3.6,2.35,4.05,2.35,3.6
876489,little_cold,7.5,4.85,1.62,7.5,1.62,4.85
850247,normal,2.2,3.51,4.25,4.25,2.2,3.51
876965,normal,10.0,5.4,1.75,10.0,1.75,5.4
918833,normal,1.8,4.0,6.75,6.75,1.8,4.0
888945,normal,1.68,4.15,5.78,5.78,1.68,4.15
859498,normal,2.71,3.6,3.4,3.6,2.71,3.4
904042,normal,3.22,3.1,2.9,3.22,2.9,3.1
883760,normal,6.1,3.85,1.8,6.1,1.8,3.85
895772,little_cold,2.68,3.35,3.25,3.35,2.68,3.25
874746,big_cold,2.77,3.45,3.15,3.45,2.77,3.15
859506,big_cold,2.42,3.6,4.3,4.3,2.42,3.6
918834,normal,3.0,2.99,3.75,3.75,2.99,3.0
906341,normal,3.12,3.25,3.86,3.86,3.12,3.25
892870,little_cold,2.3,3.35,4.0,4.0,2.3,3.35
859485,normal,2.5,3.75,4.46,4.46,2.5,3.75
856899,big_cold,2.5,3.85,5.2,5.2,2.5,3.85
850245,normal,2.3,4.02,4.75,4.75,2.3,4.02
919392,normal,6.5,5.35,1.49,6.5,1.49,5.35
895765,normal,2.6,3.3,3.05,3.3,2.6,3.05
859442,little_cold,5.9,3.9,1.8,5.9,1.8,3.9
891473,big_cold,3.22,3.32,3.0,3.32,3.0,3.22
855386,normal,2.63,3.6,3.1,3.6,2.63,3.1
906339,little_cold,3.64,3.3,2.55,3.64,2.55,3.3
895766,normal,3.09,3.4,2.69,3.4,2.69,3.09
895767,big_cold,2.55,3.3,3.15,3.3,2.55,3.15
846979,normal,1.45,5.7,8.5,8.5,1.45,5.7
887622,normal,2.21,3.79,4.55,4.55,2.21,3.79
876569,little_cold,2.15,4.15,5.64,5.64,2.15,4.15
895474,big_cold,2.25,3.4,3.9,3.9,2.25,3.4
885368,normal,7.5,4.85,1.65,7.5,1.65,4.85
884674,little_cold,2.05,4.0,4.6,4.6,2.05,4.0
866550,normal,1.97,4.2,5.05,5.05,1.97,4.2
883746,normal,4.2,3.35,4.4,4.4,3.35,4.2
885357,little_cold,3.2,3.55,2.63,3.55,2.63,3.2
888949,normal,2.05,3.68,4.5,4.5,2.05,3.68
859489,normal,2.39,3.55,3.82,3.82,2.39,3.55
859487,little_cold,2.67,3.6,3.0,3.6,2.67,3.0
886155,normal,3.0,3.6,3.0,3.6,3.0,3.0
846983,little_cold,3.65,3.8,2.47,3.8,2.47,3.65
891477,big_cold,9.2,5.5,1.51,9.2,1.51,5.5
905977,little_cold,3.4,3.22,2.9,3.4,2.9,3.22
850244,normal,2.34,3.75,3.65,3.75,2.34,3.65
905994,normal,3.72,3.25,2.63,3.72,2.63,3.25
856287,normal,7.4,4.5,1.62,7.4,1.62,4.5
857090,little_cold,2.75,3.4,2.76,3.4,2.75,2.76
896085,normal,1.55,5.2,9.0,9.0,1.55,5.2
911571,normal,1.95,3.8,5.81,5.81,1.95,3.8
878636,big_cold,3.4,3.61,2.94,3.61,2.94,3.4
874739,normal,1.85,4.0,5.9,5.9,1.85,4.0
885837,big_cold,3.34,3.4,2.94,3.4,2.94,3.34
903778,normal,2.06,3.7,5.3,5.3,2.06,3.7
879881,normal,1.45,5.7,11.0,11.0,1.45,5.7
878632,little_cold,2.87,3.57,2.72,3.57,2.72,2.87
918839,normal,1.75,4.39,10.0,10.0,1.75,4.39
850241,big_cold,1.77,4.4,7.45,7.45,1.77,4.4
919394,normal,1.31,7.5,10.8,10.8,1.31,7.5
895764,little_cold,1.92,3.65,5.5,5.5,1.92,3.65
889232,normal,2.77,3.48,3.6,3.6,2.77,3.48
851221,big_cold,2.4,3.4,3.52,3.52,2.4,3.4
891469,big_cold,3.48,3.33,3.1,3.48,3.1,3.33
868028,normal,1.92,4.25,8.14,8.14,1.92,4.25
905997,normal,1.8,3.95,6.85,6.85,1.8,3.95
896081,normal,1.85,4.25,7.5,7.5,1.85,4.25
919391,normal,2.12,3.64,3.3,3.64,2.12,3.3
851239,little_cold,2.69,3.37,3.42,3.42,2.69,3.37
884672,normal,2.65,3.7,3.2,3.7,2.65,3.2
883732,big_cold,5.4,3.6,2.59,5.4,2.59,3.6
895770,little_cold,2.63,3.15,3.55,3.55,2.63,3.15
859475,normal,4.6,3.6,2.1,4.6,2.1,3.6
850243,normal,1.66,4.6,6.5,6.5,1.66,4.6
919393,big_cold,9.2,5.2,1.42,9.2,1.42,5.2
895467,little_cold,4.65,3.6,2.3,4.65,2.3,3.6
856212,big_cold,1.46,5.25,8.2,8.2,1.46,5.25
896865,big_cold,6.75,4.35,1.74,6.75,1.74,4.35
847635,normal,4.44,3.71,2.25,4.44,2.25,3.71
875622,big_cold,3.35,3.1,2.7,3.35,2.7,3.1
905906,little_cold,3.55,3.15,2.71,3.55,2.71,3.15
884472,little_cold,2.08,3.6,4.25,4.25,2.08,3.6
876448,normal,2.6,3.5,3.1,3.5,2.6,3.1
894658,big_cold,2.55,3.55,3.6,3.6,2.55,3.55
931093,big_cold,2.3,3.74,4.05,4.05,2.3,3.74
885131,big_cold,2.93,3.5,2.8,3.5,2.8,2.93
905268,normal,4.81,3.6,2.77,4.81,2.77,3.6
877193,normal,6.5,4.35,1.71,6.5,1.71,4.35
897553,normal,5.0,5.5,4.5,5.5,4.5,5.0
938627,normal,1.57,5.15,10.88,10.88,1.57,5.15
937733,normal,9.05,5.4,1.53,9.05,1.53,5.4
885423,little_cold,3.2,3.52,3.48,3.52,3.2,3.48
904971,little_cold,1.86,3.55,5.6,5.6,1.86,3.55
937951,little_cold,2.05,3.8,4.6,4.6,2.05,3.8
937745,little_cold,2.52,3.75,3.72,3.75,2.52,3.72
935748,normal,3.1,3.65,2.85,3.65,2.85,3.1
896238,normal,3.2,3.5,2.55,3.5,2.55,3.2
891673,little_cold,5.6,3.78,2.37,5.6,2.37,3.78
889335,big_cold,2.48,3.3,3.45,3.45,2.48,3.3
937734,little_cold,15.0,6.5,1.33,15.0,1.33,6.5
937741,normal,4.8,4.35,2.03,4.8,2.03,4.35
936601,big_cold,2.31,3.7,4.35,4.35,2.31,3.7
937746,normal,5.21,3.8,2.02,5.21,2.02,3.8
883088,little_cold,7.17,4.75,1.67,7.17,1.67,4.75
930471,normal,2.35,4.36,5.5,5.5,2.35,4.36
937740,little_cold,12.0,5.1,1.65,12.0,1.65,5.1
895608,big_cold,3.57,3.13,3.8,3.8,3.13,3.57
896233,normal,2.32,3.7,4.5,4.5,2.32,3.7
889322,normal,1.6,5.0,9.0,9.0,1.6,5.0
906270,normal,1.72,3.9,7.5,7.5,1.72,3.9
933744,normal,1.93,9.5,19.0,19.0,1.93,9.5
928370,normal,2.02,4.1,4.95,4.95,2.02,4.1
896329,normal,6.0,4.45,1.81,6.0,1.81,4.45
951061,normal,2.21,3.77,3.9,3.9,2.21,3.77
950622,normal,1.75,4.0,6.5,6.5,1.75,4.0
951984,normal,1.91,4.2,5.8,5.8,1.91,4.2
951055,little_cold,3.0,3.5,3.55,3.55,3.0,3.5
946541,normal,1.46,5.71,11.5,11.5,1.46,5.71
930578,normal,2.55,6.0,8.0,8.0,2.55,6.0
929824,little_cold,3.0,3.6,3.45,3.6,3.0,3.45
951315,normal,2.95,3.38,2.95,3.38,2.95,2.95
934112,big_cold,3.4,5.0,5.5,5.5,3.4,5.0
937291,big_cold,2.31,3.6,3.4,3.6,2.31,3.4
951271,normal,3.46,3.72,2.35,3.72,2.35,3.46
929806,little_cold,2.4,3.76,3.55,3.76,2.4,3.55
906282,little_cold,2.72,3.25,3.2,3.25,2.72,3.2
946538,big_cold,2.4,3.42,4.25,4.25,2.4,3.42
929171,little_cold,1.92,4.3,6.2,6.2,1.92,4.3
938749,little_cold,2.63,3.7,3.2,3.7,2.63,3.2
946543,normal,2.5,3.5,3.3,3.5,2.5,3.3
944743,normal,2.5,3.6,6.0,6.0,2.5,3.6
951474,little_cold,1.65,6.1,13.0,13.0,1.65,6.1
939488,normal,2.2,3.6,4.25,4.25,2.2,3.6
950623,big_cold,2.12,3.75,4.4,4.4,2.12,3.75
929830,normal,2.73,3.6,3.5,3.6,2.73,3.5
951391,big_cold,2.0,3.7,5.25,5.25,2.0,3.7
906016,little_cold,3.95,3.4,2.32,3.95,2.32,3.4
885371,normal,1.81,3.82,4.7,4.7,1.81,3.82
895786,normal,2.3,3.4,4.37,4.37,2.3,3.4
888966,little_cold,2.89,3.55,2.61,3.55,2.61,2.89
868020,normal,1.41,6.0,12.5,12.5,1.41,6.0
866569,little_cold,2.56,3.65,3.1,3.65,2.56,3.1
856223,little_cold,2.9,3.8,2.65,3.8,2.65,2.9
878921,normal,2.1,3.85,4.64,4.64,2.1,3.85
896870,normal,3.72,3.57,2.6,3.72,2.6,3.57
857109,normal,4.35,3.75,2.03,4.35,2.03,3.75
895782,normal,2.49,3.4,3.34,3.4,2.49,3.34
878741,normal,1.77,4.6,6.3,6.3,1.77,4.6
895784,normal,2.7,3.3,3.75,3.75,2.7,3.3
879906,normal,1.8,4.26,6.15,6.15,1.8,4.26
869007,normal,1.9,3.9,6.7,6.7,1.9,3.9
847664,normal,6.0,4.17,1.68,6.0,1.68,4.17
879900,little_cold,3.83,3.89,2.25,3.89,2.25,3.83
904046,normal,3.27,3.1,3.24,3.27,3.1,3.24
879902,big_cold,2.45,3.65,3.47,3.65,2.45,3.47
891501,normal,1.3,7.6,15.0,15.0,1.3,7.6
920132,normal,1.36,6.0,14.0,14.0,1.36,6.0
892899,normal,3.55,3.3,2.69,3.55,2.69,3.3
856590,normal,3.4,4.8,1.8,4.8,1.8,3.4
876994,little_cold,1.56,5.6,11.5,11.5,1.56,5.6
885841,little_cold,10.5,5.8,1.44,10.5,1.44,5.8
846995,big_cold,1.77,4.8,7.17,7.17,1.77,4.8
885013,normal,2.7,3.8,2.95,3.8,2.7,2.95
881439,normal,2.37,3.8,5.0,5.0,2.37,3.8
859517,normal,1.67,4.84,9.84,9.84,1.67,4.84
885840,normal,6.9,4.3,4.0,6.9,4.0,4.3
856593,normal,1.5,5.25,6.1,6.1,1.5,5.25
905141,big_cold,6.1,3.31,2.69,6.1,2.69,3.31
851235,normal,2.08,4.2,6.6,6.6,2.08,4.2
850264,normal,1.77,4.68,7.81,7.81,1.77,4.68
868103,normal,1.51,5.14,9.02,9.02,1.51,5.14
892902,little_cold,2.22,3.4,4.4,4.4,2.22,3.4
878649,little_cold,1.99,3.9,4.8,4.8,1.99,3.9
847000,little_cold,2.5,3.6,3.11,3.6,2.5,3.11
878653,little_cold,2.94,3.5,3.01,3.5,2.94,3.01
859527,big_cold,1.98,3.62,7.5,7.5,1.98,3.62
851232,big_cold,18.0,8.0,1.25,18.0,1.25,8.0
850268,normal,2.51,3.77,3.38,3.77,2.51,3.38
876426,big_cold,3.55,3.42,2.5,3.55,2.5,3.42
895788,little_cold,4.27,3.34,2.66,4.27,2.66,3.34
878650,normal,1.8,4.01,5.2,5.2,1.8,4.01
888970,normal,3.32,3.4,3.2,3.4,3.2,3.32
850273,normal,1.67,4.5,7.0,7.0,1.67,4.5
906036,normal,1.54,4.81,10.37,10.37,1.54,4.81
878737,normal,3.8,3.85,2.52,3.85,2.52,3.8
860906,little_cold,1.12,14.5,46.0,46.0,1.12,14.5
895475,normal,9.44,5.05,1.47,9.44,1.47,5.05
850266,little_cold,3.18,3.68,2.71,3.68,2.71,3.18
896102,normal,1.45,5.5,9.3,9.3,1.45,5.5
885014,normal,1.91,3.9,5.0,5.0,1.91,3.9
857106,little_cold,1.67,4.25,6.58,6.58,1.67,4.25
886229,normal,1.62,5.0,8.6,8.6,1.62,5.0
866534,little_cold,2.05,3.85,4.4,4.4,2.05,3.85
857108,normal,2.51,3.55,3.25,3.55,2.51,3.25
895781,normal,2.07,3.6,6.32,6.32,2.07,3.6
918868,normal,5.7,4.25,1.78,5.7,1.78,4.25
889242,little_cold,10.12,4.86,1.55,10.12,1.55,4.86
896875,big_cold,2.63,3.45,3.4,3.45,2.63,3.4
867981,little_cold,2.73,3.45,3.51,3.51,2.73,3.45
859531,big_cold,2.98,3.2,2.79,3.2,2.79,2.98
856229,little_cold,2.6,4.0,4.05,4.05,2.6,4.0
847654,little_cold,2.47,3.69,4.62,4.62,2.47,3.69
886222,normal,1.56,5.0,7.5,7.5,1.56,5.0
896873,big_cold,2.9,3.3,3.21,3.3,2.9,3.21
856227,little_cold,2.1,4.02,4.9,4.9,2.1,4.02
878654,little_cold,3.15,3.6,4.57,4.57,3.15,3.6
850265,normal,1.51,5.24,8.56,8.56,1.51,5.24
868144,little_cold,2.22,3.75,4.75,4.75,2.22,3.75
906028,big_cold,2.45,3.3,4.5,4.5,2.45,3.3
884696,normal,1.92,4.56,6.75,6.75,1.92,4.56
850270,normal,1.81,4.0,6.1,6.1,1.81,4.0
874756,normal,3.95,3.6,2.72,3.95,2.72,3.6
888965,big_cold,5.4,3.6,2.1,5.4,2.1,3.6
868149,little_cold,1.91,3.95,5.4,5.4,1.91,3.95
859509,little_cold,2.01,3.5,4.75,4.75,2.01,3.5
896886,little_cold,2.84,3.3,3.4,3.4,2.84,3.3
891498,normal,1.75,4.2,6.85,6.85,1.75,4.2
851237,big_cold,3.25,3.55,2.77,3.55,2.77,3.25
885833,normal,27.0,8.9,1.29,27.0,1.29,8.9
876778,little_cold,5.5,4.2,4.7,5.5,4.2,4.7
896872,normal,1.91,4.0,6.3,6.3,1.91,4.0
859524,big_cold,2.9,3.25,2.95,3.25,2.9,2.95
888960,big_cold,3.08,3.4,2.59,3.4,2.59,3.08
878739,normal,1.85,4.45,5.7,5.7,1.85,4.45
856588,little_cold,1.23,7.5,13.0,13.0,1.23,7.5
896100,big_cold,1.74,4.25,6.3,6.3,1.74,4.25
896876,big_cold,4.75,3.6,2.3,4.75,2.3,3.6
878652,normal,1.64,4.5,7.3,7.3,1.64,4.5
903761,little_cold,4.15,3.69,2.03,4.15,2.03,3.69
878647,big_cold,3.6,3.7,2.3,3.7,2.3,3.6
881440,normal,1.73,4.36,8.3,8.3,1.73,4.36
859530,big_cold,3.32,3.2,2.65,3.32,2.65,3.2
895479,little_cold,3.3,3.27,2.77,3.3,2.77,3.27
866532,normal,1.18,11.5,34.0,34.0,1.18,11.5
896104,normal,3.24,3.6,2.5,3.6,2.5,3.24
859526,little_cold,2.35,3.6,6.6,6.6,2.35,3.6
876649,little_cold,1.89,4.26,6.2,6.2,1.89,4.26
892900,normal,2.24,3.2,4.56,4.56,2.24,3.2
885845,normal,3.3,3.42,3.2,3.42,3.2,3.3
847001,little_cold,2.45,3.6,3.2,3.6,2.45,3.2
847002,little_cold,1.62,5.0,8.5,8.5,1.62,5.0
850271,normal,3.9,3.7,2.89,3.9,2.89,3.7
884358,big_cold,2.63,3.42,3.85,3.85,2.63,3.42
905776,normal,1.67,4.27,7.51,7.51,1.67,4.27
876494,normal,1.7,4.28,6.3,6.3,1.7,4.28
860914,big_cold,3.1,4.33,5.5,5.5,3.1,4.33
904045,little_cold,3.58,3.35,2.65,3.58,2.65,3.35
876782,normal,8.0,5.23,1.64,8.0,1.64,5.23
856295,normal,1.62,4.72,6.7,6.7,1.62,4.72
876648,normal,5.0,3.9,2.51,5.0,2.51,3.9
889244,big_cold,2.55,3.4,3.95,3.95,2.55,3.4
906343,normal,2.08,3.4,4.8,4.8,2.08,3.4
868146,little_cold,2.9,3.6,2.94,3.6,2.9,2.94
895476,normal,3.17,3.4,2.95,3.4,2.95,3.17
879909,little_cold,4.27,3.73,2.25,4.27,2.25,3.73
859529,normal,2.77,3.36,3.2,3.36,2.77,3.2
856233,little_cold,2.3,3.82,3.57,3.82,2.3,3.57
903780,normal,2.23,3.5,4.3,4.3,2.23,3.5
850267,normal,4.0,3.51,3.72,4.0,3.51,3.72
891500,normal,2.12,3.9,5.8,5.8,2.12,3.9
892901,normal,2.29,3.3,4.0,4.0,2.29,3.3
866535,big_cold,1.94,4.0,4.55,4.55,1.94,4.0
851238,normal,2.38,3.7,4.44,4.44,2.38,3.7
891505,normal,1.8,4.0,5.8,5.8,1.8,4.0
896878,normal,1.26,8.0,19.0,19.0,1.26,8.0
859535,normal,2.34,3.3,3.8,3.8,2.34,3.3
884690,normal,2.22,3.87,4.05,4.05,2.22,3.87
920092,normal,2.12,3.68,4.25,4.25,2.12,3.68
906030,big_cold,2.5,3.3,4.85,4.85,2.5,3.3
885380,normal,1.48,5.5,10.0,10.0,1.48,5.5
895787,big_cold,2.67,3.3,3.15,3.3,2.67,3.15
920096,little_cold,2.91,3.5,3.38,3.5,2.91,3.38
856231,normal,1.44,6.0,8.75,8.75,1.44,6.0
860913,little_cold,3.54,3.85,4.7,4.7,3.54,3.85
847647,big_cold,2.32,3.81,4.42,4.42,2.32,3.81
911575,little_cold,2.44,3.1,3.8,3.8,2.44,3.1
