bisai_id,predict_cold
875673,little_cold
935310,normal
883134,big_cold
930523,little_cold
895651,normal
933674,normal
883122,normal
883115,big_cold
926481,big_cold
883133,normal
891747,normal
905038,little_cold
936980,little_cold
885197,big_cold
885193,big_cold
875682,little_cold
926514,normal
941831,little_cold
926492,normal
880757,big_cold
877756,normal
936003,big_cold
877749,little_cold
946515,big_cold
893115,little_cold
877759,big_cold
931515,normal
889056,little_cold
950254,little_cold
936330,normal
936328,little_cold
937897,normal
947888,normal
947887,normal
933701,normal
889055,big_cold
947874,normal
935654,normal
889061,big_cold
949478,little_cold
947867,big_cold
950252,little_cold
889064,normal
943273,normal
936329,big_cold
946530,normal
889065,normal
930547,big_cold
936331,little_cold
929136,big_cold
889058,big_cold
933938,little_cold
875587,little_cold
896995,normal
933618,normal
875583,normal
876670,big_cold
886298,little_cold
933338,big_cold
933935,normal
933609,big_cold
893027,little_cold
927879,big_cold
933605,little_cold
933941,normal
883104,big_cold
933610,big_cold
883054,big_cold
885103,big_cold
896212,little_cold
884798,little_cold
883059,normal
895579,normal
931868,normal
885106,big_cold
884428,little_cold
933619,little_cold
930911,little_cold
933606,big_cold
933936,normal
931315,big_cold
930465,normal
881123,big_cold
879998,little_cold
931870,normal
880631,normal
933607,big_cold
931353,little_cold
875588,normal
933608,big_cold
930450,normal
875585,big_cold
933603,big_cold
875586,little_cold
883101,normal
904922,little_cold
933937,normal
923211,little_cold
883052,normal
875590,normal
919136,little_cold
883048,normal
931081,big_cold
883089,normal
884463,normal
891630,big_cold
885108,big_cold
933617,little_cold
875580,normal
883094,big_cold
874955,normal
933604,normal
931463,big_cold
935572,little_cold
883097,normal
875595,little_cold
891640,big_cold
876460,little_cold
875597,little_cold
875601,big_cold
935834,big_cold
893035,little_cold
895594,normal
883081,normal
883075,little_cold
875600,big_cold
883065,little_cold
935835,normal
874954,normal
935758,normal
885112,normal
931433,big_cold
876442,little_cold
897002,normal
931076,little_cold
896219,little_cold
883084,big_cold
875593,little_cold
886309,normal
883086,normal
904954,little_cold
935837,normal
884811,little_cold
889320,normal
923215,big_cold
935569,big_cold
884439,big_cold
931074,normal
883080,big_cold
935726,big_cold
935512,little_cold
935570,normal
883098,little_cold
880015,little_cold
935571,normal
931386,little_cold
935832,normal
875596,normal
930468,normal
885115,little_cold
933534,little_cold
885114,little_cold
875598,little_cold
931464,normal
935786,normal
933611,normal
875594,normal
884425,normal
876529,big_cold
935825,normal
935824,normal
935815,normal
935833,normal
935816,normal
931830,little_cold
877542,little_cold
928444,little_cold
894618,normal
931863,big_cold
875562,little_cold
896198,normal
880564,little_cold
931693,big_cold
895883,normal
896203,normal
923202,little_cold
927890,normal
931372,little_cold
904880,big_cold
895884,little_cold
931842,normal
895568,normal
930461,normal
931843,big_cold
930430,normal
928082,normal
931844,normal
930677,normal
882643,big_cold
895563,little_cold
881146,little_cold
907514,big_cold
923203,little_cold
891609,normal
931846,normal
931847,normal
927871,big_cold
881119,little_cold
874948,little_cold
931873,little_cold
881112,normal
930473,normal
930460,little_cold
930433,little_cold
886283,normal
891605,normal
884781,little_cold
877544,little_cold
874928,normal
891618,big_cold
931871,big_cold
881142,normal
904881,little_cold
931053,big_cold
930462,big_cold
881113,normal
911608,big_cold
926733,big_cold
881145,big_cold
931050,normal
882645,big_cold
886269,little_cold
895882,big_cold
904882,big_cold
931872,normal
926750,little_cold
880586,little_cold
884784,big_cold
927926,normal
928263,normal
904892,little_cold
930993,big_cold
927904,normal
874896,normal
882639,little_cold
931874,big_cold
896967,normal
884783,normal
878993,normal
931841,little_cold
931373,big_cold
931875,little_cold
877540,normal
929716,normal
886270,little_cold
895879,big_cold
928445,normal
874945,little_cold
879980,big_cold
930242,big_cold
878991,little_cold
893012,big_cold
893011,little_cold
895878,little_cold
926894,big_cold
885091,big_cold
895881,little_cold
884782,little_cold
886284,little_cold
878992,little_cold
927827,big_cold
895885,normal
928438,normal
904886,little_cold
884778,normal
927889,little_cold
896196,big_cold
876377,little_cold
929465,big_cold
877541,little_cold
903791,big_cold
930241,big_cold
881100,big_cold
895570,normal
884786,normal
895569,normal
904884,little_cold
874915,normal
894614,normal
929020,little_cold
927849,normal
931922,little_cold
931845,big_cold
927909,little_cold
874937,normal
882638,big_cold
885090,big_cold
931052,little_cold
882640,little_cold
931695,little_cold
896971,normal
881099,big_cold
930416,normal
904067,little_cold
893009,little_cold
879969,normal
891616,little_cold
883000,normal
927872,little_cold
882646,normal
877569,little_cold
904069,little_cold
880639,little_cold
881141,big_cold
880610,normal
931703,normal
930100,normal
904883,normal
878990,big_cold
931840,little_cold
882642,big_cold
893007,little_cold
930240,normal
894617,little_cold
905850,little_cold
931698,big_cold
931374,little_cold
876513,big_cold
882637,normal
929718,normal
930992,normal
927911,normal
904887,normal
894619,normal
879974,little_cold
928440,normal
880576,little_cold
930415,normal
882636,normal
878915,normal
857110,normal
883740,normal
892890,little_cold
880936,little_cold
878911,normal
883764,little_cold
885011,big_cold
880945,little_cold
881426,little_cold
920089,normal
904737,big_cold
855389,normal
878637,little_cold
904748,little_cold
855387,big_cold
876969,big_cold
906019,normal
884686,little_cold
905771,normal
857105,normal
906009,little_cold
880377,big_cold
883728,normal
876501,normal
903757,normal
869002,normal
880364,normal
886217,big_cold
876973,normal
880401,big_cold
878736,big_cold
879884,normal
879887,little_cold
876776,normal
861407,little_cold
852933,big_cold
880925,normal
905168,normal
882444,normal
874752,little_cold
891485,normal
880923,big_cold
882446,little_cold
892892,little_cold
884683,normal
896882,big_cold
876775,normal
889233,little_cold
868998,normal
862707,little_cold
878910,normal
852929,normal
876968,little_cold
876526,big_cold
877479,normal
862705,big_cold
884370,big_cold
866565,big_cold
880378,little_cold
891494,big_cold
896095,big_cold
906023,normal
884680,normal
883768,little_cold
905770,normal
882452,normal
897523,normal
884685,big_cold
920098,little_cold
869003,normal
881425,little_cold
880375,normal
884356,big_cold
874747,little_cold
871280,normal
855388,little_cold
876773,normal
882451,little_cold
879892,big_cold
860936,little_cold
854963,normal
877485,little_cold
905191,normal
882453,big_cold
883776,normal
878914,little_cold
860943,little_cold
885370,normal
891499,normal
904789,little_cold
880921,big_cold
874757,big_cold
871275,normal
904768,little_cold
919512,normal
904734,little_cold
881432,big_cold
883778,big_cold
881428,little_cold
852948,normal
856587,big_cold
878638,big_cold
885852,normal
880926,little_cold
887631,little_cold
919527,normal
906024,little_cold
896090,big_cold
880380,big_cold
846988,big_cold
861359,little_cold
887630,little_cold
874751,normal
886215,big_cold
877476,normal
882448,big_cold
885835,normal
855393,big_cold
880972,big_cold
876979,normal
880924,little_cold
886220,normal
892887,normal
905142,little_cold
876975,normal
905762,normal
846990,big_cold
891492,normal
879893,little_cold
847651,big_cold
861406,normal
885842,normal
882443,little_cold
897525,big_cold
894520,normal
883748,big_cold
919528,normal
860934,normal
881430,little_cold
920085,normal
883725,little_cold
847658,normal
904739,little_cold
882445,little_cold
877480,big_cold
905996,normal
861399,normal
884374,little_cold
887616,little_cold
882449,little_cold
880948,little_cold
881431,normal
875447,little_cold
880370,normal
904782,normal
885365,normal
919504,normal
854959,normal
919510,big_cold
857088,little_cold
876977,little_cold
876380,normal
884684,big_cold
896089,little_cold
854961,normal
876972,normal
877482,big_cold
882450,little_cold
861361,normal
874750,little_cold
880404,little_cold
919526,big_cold
878732,normal
887628,big_cold
881020,big_cold
876774,little_cold
879880,normal
869004,normal
883726,big_cold
883741,little_cold
885008,big_cold
880947,little_cold
869005,little_cold
880949,normal
855390,little_cold
861360,normal
906008,little_cold
896879,normal
854951,big_cold
852947,normal
892891,normal
882447,big_cold
882454,little_cold
868999,normal
857096,little_cold
861364,normal
896088,little_cold
896868,little_cold
861365,big_cold
886218,big_cold
880372,normal
906035,big_cold
892889,little_cold
884687,normal
889236,normal
920592,little_cold
887620,big_cold
860901,normal
882474,little_cold
880424,little_cold
876974,big_cold
892896,little_cold
869009,little_cold
857094,normal
847660,normal
904796,little_cold
904775,little_cold
905189,big_cold
858417,big_cold
892904,little_cold
919291,normal
905991,little_cold
895477,big_cold
905185,little_cold
855392,big_cold
858430,big_cold
876780,big_cold
885844,big_cold
877008,big_cold
881436,normal
882472,normal
883763,little_cold
860904,big_cold
871277,big_cold
889246,little_cold
867869,normal
877063,big_cold
880388,little_cold
874765,little_cold
874762,little_cold
880959,little_cold
880397,normal
921344,big_cold
919287,big_cold
884361,little_cold
882475,little_cold
877484,little_cold
855395,normal
876645,big_cold
877481,normal
858445,big_cold
880961,normal
894525,big_cold
880956,big_cold
880960,normal
904758,big_cold
876779,normal
920093,little_cold
905775,normal
874760,little_cold
861401,normal
861370,normal
881433,little_cold
880442,big_cold
891495,normal
884378,normal
880987,big_cold
869011,big_cold
883770,normal
869006,normal
882471,little_cold
894532,big_cold
855396,normal
882478,big_cold
896098,normal
877021,normal
880409,big_cold
921282,normal
877001,normal
885364,big_cold
885843,big_cold
921283,normal
854981,normal
895480,normal
874761,normal
892903,little_cold
891493,normal
919282,little_cold
880421,big_cold
885016,little_cold
857091,big_cold
878920,big_cold
876781,normal
921285,little_cold
862717,big_cold
883798,big_cold
882477,little_cold
846999,little_cold
904738,normal
858426,big_cold
885017,big_cold
904750,normal
882467,little_cold
920198,normal
886223,big_cold
880958,little_cold
861402,little_cold
896877,big_cold
906013,big_cold
874758,normal
884689,normal
877025,normal
904756,normal
883750,little_cold
906022,little_cold
876599,big_cold
911584,little_cold
879896,little_cold
866541,normal
861403,normal
903759,big_cold
894527,little_cold
861371,normal
883742,little_cold
884688,normal
920087,normal
894535,big_cold
921284,normal
878648,normal
858423,little_cold
878646,normal
919283,normal
882476,little_cold
877018,big_cold
884368,big_cold
919831,normal
858421,little_cold
880986,little_cold
905773,big_cold
906053,big_cold
854980,normal
904800,big_cold
892898,little_cold
860949,little_cold
885372,big_cold
880967,little_cold
889241,big_cold
886225,normal
883758,little_cold
905202,big_cold
877483,normal
877478,big_cold
875458,little_cold
919293,normal
882473,normal
858415,little_cold
884693,normal
880408,little_cold
884691,big_cold
879890,big_cold
905768,normal
919294,little_cold
876612,big_cold
869008,little_cold
906045,normal
896097,big_cold
878740,big_cold
886228,normal
